Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,9,639.0,0.0,,81.2475,0.0,Mar,1,1,2,9,Returning_Visitor,True,True
0,0.0,0,0.0,13,421.16666669999995,0.0,0.028205128,0.0,0.8,May,1,1,1,2,Returning_Visitor,False,False
18,280.95,6,762.5,79,2096.911364,0.003333333,0.014008551000000001,25.96702005,0.0,Mar,2,4,2,2,Returning_Visitor,False,False
3,81.0,1,0.0,28,499.66666669999995,0.0,0.022222222000000003,0.0,0.0,Mar,2,6,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,5,156.0,0.0,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,False,False
0,0.0,1,0.0,37,,0.0017543860000000001,0.03245614,0.0,0.0,Mar,2,5,3,1,Returning_Visitor,False,False
4,45.7,1,0.0,13,94.6,,0.070670996,,0.0,Jul,3,2,2,4,Returning_Visitor,False,True
9,299.6333333,4,56.0,35,1386.633333,0.01025641,0.014871795,0.0,0.0,May,1,1,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,19,224.0,0.0,0.052631579000000005,0.0,0.0,May,2,2,3,19,Returning_Visitor,False,False
6,45.83333333,2,284.0,54,1509.8,0.0,0.006779661,7.272067797,0.0,Mar,2,2,7,2,New_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Feb,2,2,4,3,Returning_Visitor,False,False
0,0.0,0,0.0,32,875.9333332999998,0.031770833,0.07239583299999999,0.0,0.0,Oct,1,1,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,18,644.125,0.00625,0.021924602999999997,,0.0,Mar,3,2,3,10,Returning_Visitor,False,False
0,0.0,0,0.0,3,30.0,0.0,0.066666667,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.4,May,1,1,3,3,Returning_Visitor,False,False
0,0.0,1,36.33333333,38,1663.683333,0.005405405,0.022972972999999997,0.0,0.0,Mar,2,2,4,1,Returning_Visitor,False,False
0,0.0,0,,37,854.55,0.005405405,0.023166022999999997,0.0,0.0,Dec,2,2,6,3,Returning_Visitor,False,False
7,159.5,0,0.0,13,362.5,0.0,0.003921569000000001,0.0,0.0,May,2,2,7,2,New_Visitor,False,False
7,119.4,0,0.0,16,743.5314286,0.01,0.02,35.35631939,0.0,Sep,1,1,8,4,Returning_Visitor,False,False
1,4.0,0,0.0,15,377.5,0.0,0.002040816,69.71321409999999,0.0,Nov,8,13,9,20,Other,False,False
7,230.16666669999998,3,222.0,140,8961.407670999999,0.00137931,0.012980563999999998,0.0,0.0,Mar,2,5,2,1,Returning_Visitor,True,False
1,7.0,0,0.0,21,803.0,0.031578947,0.052631579000000005,7.014753437,0.0,Nov,3,2,3,3,Returning_Visitor,False,True
0,0.0,0,0.0,4,15.0,0.1,0.15,0.0,0.6,May,1,1,3,3,Returning_Visitor,False,False
0,0.0,0,0.0,8,219.0,0.0,0.025,0.0,0.0,Dec,2,5,3,2,Returning_Visitor,False,False
