Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,0.0,0,0.0,12,202.0,0.0,0.041666667000000004,0.0,0.0,May,2,2,7,14,Returning_Visitor,False,False
0,0.0,0,0.0,40,974.0833332999998,0.006837607,0.028205128,,0.0,Nov,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,14,684.75,0.0,0.014285714,0.0,0.0,Nov,2,2,9,2,Returning_Visitor,False,False
7,440.58333330000005,0,0.0,48,1777.7023809999998,0.0,0.021538462,14.74449646,0.0,Dec,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Jul,3,2,1,4,Returning_Visitor,False,False
5,274.3333333,0,0.0,13,717.6,,0.001960784,0.0,0.0,Mar,1,1,3,10,New_Visitor,False,False
2,32.0,0,0.0,7,164.5,0.0,0.008333333,0.0,0.4,May,2,2,1,4,Returning_Visitor,False,False
0,0.0,0,0.0,13,313.0,0.0,,0.0,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
9,98.94444444,1,600.0,124,5731.094443999999,0.018346253,0.03371764,1.9141749719999999,0.2,May,2,2,3,13,Returning_Visitor,False,False
6,82.14,0,0.0,12,191.1,0.0,0.0125,0.0,0.0,Nov,2,4,9,4,Returning_Visitor,False,False
4,128.5,0,0.0,14,273.25,0.0,0.0125,0.0,0.0,May,1,8,4,4,Returning_Visitor,True,False
0,0.0,0,0.0,112,6673.291392,0.0,0.008744589,5.468093499,0.0,Nov,2,4,1,3,Returning_Visitor,False,False
13,311.83009350000003,4,201.5,166,6850.4993349999995,0.0,0.017541022,4.115853586,0.0,Dec,2,2,1,3,Returning_Visitor,False,False
0,0.0,0,0.0,22,325.75,0.0,0.031818182,,0.0,Mar,2,10,7,2,Returning_Visitor,False,False
1,0.0,0,0.0,77,4350.647321,0.012727273,0.023842532000000003,14.38546841,0.0,Nov,2,2,1,2,Returning_Visitor,False,False
3,72.5,2,523.75,8,178.75,0.023076923,0.069230769,0.0,0.0,Nov,1,1,1,3,Returning_Visitor,False,False
0,0.0,5,118.5,17,558.3988095,0.022727273,0.046212120999999995,0.0,0.0,Dec,1,8,5,11,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,3,2,3,1,Returning_Visitor,False,False
2,120.0,0,0.0,8,588.1666667000001,0.0,,0.0,0.0,Mar,1,1,1,2,Returning_Visitor,False,False
12,159.89583330000002,0,0.0,121,3648.5625,0.0019274379999999999,0.009409219,3.322866215,0.0,Nov,2,2,5,7,Returning_Visitor,False,False
0,0.0,0,0.0,19,923.22,0.0,0.0,0.0,0.0,Aug,1,1,1,4,Returning_Visitor,False,False
0,0.0,0,0.0,42,,0.004761905,0.014920635,0.0,0.0,Oct,1,1,1,2,Returning_Visitor,False,False
2,21.0,0,0.0,11,276.5,0.0,0.015384615,0.0,0.0,Nov,2,2,7,2,Returning_Visitor,False,False
0,0.0,0,0.0,5,,0.0,0.04,0.0,0.0,May,4,2,3,1,Returning_Visitor,False,False
4,92.25,1,0.0,47,1506.220833,0.0,0.025596405,8.011553351,0.4,May,2,2,1,2,Returning_Visitor,False,True
2,145.0,0,0.0,7,196.5,0.0,0.0125,0.0,,May,3,2,4,1,Returning_Visitor,False,False
0,0.0,0,0.0,3,52.5,,0.1,0.0,0.0,Dec,3,2,3,3,Returning_Visitor,False,False
10,183.75,1,15.0,70,2860.5,0.009876543,0.025308642000000003,8.488518519,0.0,May,4,1,4,3,Returning_Visitor,True,False
0,0.0,0,0.0,8,,0.0,0.025,0.0,0.0,Mar,2,2,7,7,Returning_Visitor,False,False
2,37.0,0,0.0,36,862.5738095,0.002857143,0.012698413,10.87212857,0.0,May,2,4,6,2,Returning_Visitor,False,True
9,299.0833333,1,0.0,14,212.83333330000002,0.010526316,0.033684211,0.0,0.0,May,3,2,1,11,Returning_Visitor,True,False
0,0.0,0,0.0,1,0.0,0.0,0.1,0.0,0.0,Mar,2,2,2,6,Returning_Visitor,False,False
0,0.0,0,0.0,7,286.5,0.0,0.042857143,0.0,0.0,Mar,3,3,3,1,Returning_Visitor,False,False
0,0.0,0,0.0,10,270.0,0.0,0.004,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
2,58.0,0,0.0,50,952.4345238,0.0,,,0.0,Mar,4,2,2,11,Returning_Visitor,True,True
1,25.5,0,0.0,10,361.5,0.0,0.02,60.01343064,0.0,Dec,2,2,1,1,Returning_Visitor,False,True
2,209.5,0,0.0,102,2436.287879,0.051797385999999994,0.06053921599999999,0.0,0.0,Oct,3,2,1,13,Returning_Visitor,False,False
0,0.0,0,0.0,21,,0.005,0.025,0.0,,Dec,2,2,7,1,Returning_Visitor,False,False
0,0.0,0,0.0,106,1974.702597,0.0018867920000000002,0.014426543,1.324135445,0.0,May,2,2,8,3,Returning_Visitor,False,False
0,0.0,0,0.0,8,729.0,0.041666667000000004,0.070833333,0.0,0.4,May,2,2,8,1,Returning_Visitor,False,False
7,98.0,3,61.0,83,2355.682738,0.002873563,0.022487296,,0.0,Dec,1,1,1,2,Returning_Visitor,False,False
3,138.5,6,292.0,26,807.0833332999999,0.0020833329999999997,0.011458333000000001,0.0,0.0,Dec,3,2,1,8,Returning_Visitor,True,False
0,0.0,0,,15,139.83333330000002,0.026666667,0.053333333,0.0,0.0,Mar,2,2,6,1,Returning_Visitor,False,False
0,0.0,0,0.0,5,59.0,0.08,0.12,0.0,0.0,Mar,2,2,7,1,Returning_Visitor,False,False
3,40.2,0,0.0,11,201.1333333,0.0,0.02,0.0,0.0,June,2,2,2,1,New_Visitor,False,False
5,136.0,0,0.0,30,2205.666667,0.0,0.012121212,47.26060606,0.0,May,2,2,4,6,Returning_Visitor,False,True
0,0.0,2,75.0,14,442.33333330000005,0.0,0.034375,0.0,0.8,Feb,1,1,3,3,Returning_Visitor,False,False
3,101.6428571,0,0.0,137,3978.6261670000004,0.001449275,0.004746377,81.75845837,0.0,Dec,2,10,3,1,Returning_Visitor,False,False
0,0.0,1,100.0,19,1645.679762,0.0022222220000000003,0.02962963,0.0,0.0,Dec,2,5,6,1,Returning_Visitor,False,False
3,76.0,0,0.0,24,1038.845238,0.0,0.008333333,0.0,0.0,Mar,2,2,4,3,New_Visitor,False,False
7,241.86111110000002,3,228.0,154,4755.224054,0.009808489,0.029142563,1.1044402340000001,0.0,Nov,1,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,140,2404.831006,0.001428571,0.003142857,0.0,0.0,Nov,1,1,4,2,Returning_Visitor,False,False
2,21.0,0,0.0,65,2881.1333329999998,0.0,0.002985075,80.68062856,0.0,Mar,2,2,4,2,New_Visitor,False,True
2,25.2,0,0.0,13,238.5333333,0.0,0.009375,36.70369311,0.0,Oct,2,2,1,20,Returning_Visitor,False,True
1,0.0,0,0.0,18,1489.083333,0.023529412000000003,0.046470588,0.0,0.0,Mar,2,2,8,1,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,May,4,2,1,11,Returning_Visitor,False,False
9,174.475,0,0.0,43,895.9731685,0.0,0.009929078000000001,30.66624113,0.0,May,1,2,6,2,Returning_Visitor,False,True
3,137.56666669999998,2,23.0,22,739.0666667,0.0,0.024666667000000003,13.67493333,,May,3,6,4,6,Returning_Visitor,False,True
9,666.0,0,0.0,29,2061.066667,0.018918919,0.038918918999999996,3.0643783780000002,0.0,May,2,2,1,1,Returning_Visitor,False,False
4,85.92857143,0,0.0,39,681.7619047999999,0.015384615,0.032988166,0.0,0.0,May,1,1,7,3,Returning_Visitor,False,False
2,134.0,0,0.0,15,284.1,0.0,0.011764706000000002,0.0,0.0,Nov,2,4,8,2,New_Visitor,False,False
1,0.0,0,0.0,30,1732.0666670000003,0.025806452,0.050752688,,0.0,Nov,2,2,9,10,Returning_Visitor,False,False
1,3.0,1,302.0,7,539.5,0.0,0.0125,0.0,0.0,Dec,2,2,4,2,Other,True,False
1,5.0,0,0.0,21,411.0833333,0.015789473999999998,0.016140351,0.0,0.0,Nov,3,2,7,3,Returning_Visitor,False,False
3,168.75,0,0.0,36,1262.833333,0.0,0.0040540540000000005,20.39448649,0.0,May,2,2,3,4,Returning_Visitor,True,True
0,0.0,0,0.0,9,275.1666667,0.022222222000000003,0.033333333,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
8,162.5,0,0.0,9,156.5,0.018181818,0.027272727000000004,0.0,0.0,Dec,4,1,4,8,New_Visitor,False,False
2,21.0,0,0.0,34,2600.2583329999998,0.011111111000000002,0.037464387,9.938399233,0.0,Mar,1,1,1,3,Returning_Visitor,False,False
0,0.0,0,,1,0.0,0.0,0.2,0.0,0.0,Mar,2,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,22,164.91666669999998,0.009090909,0.04393939400000001,0.0,0.6,May,2,2,2,4,Returning_Visitor,False,False
0,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.0,Mar,2,2,1,1,Returning_Visitor,False,False
2,42.4,0,0.0,5,163.2,0.0,0.028571429,20.71678117,0.0,Aug,2,10,3,3,Returning_Visitor,False,True
10,130.625,0,0.0,20,707.1666667000001,0.0,0.0072222219999999995,0.0,0.0,Nov,4,1,1,3,Returning_Visitor,False,False
1,64.0,0,0.0,54,1155.033333,0.001282051,0.003974359,0.0,0.0,May,4,2,2,4,Returning_Visitor,False,False
3,59.5,0,0.0,6,159.0,,0.00625,0.0,0.0,Dec,3,2,8,6,New_Visitor,False,False
2,99.2,0,0.0,7,106.96666670000002,0.025,0.015,0.0,0.0,Oct,3,2,1,2,Returning_Visitor,True,False
3,165.25,0,0.0,49,1256.383333,0.025133332999999997,0.046907359,0.0,0.0,Nov,3,2,1,13,Returning_Visitor,False,False
4,112.875,0,0.0,6,134.675,0.0,0.037037037,0.0,0.0,Nov,1,2,1,2,Returning_Visitor,False,False
0,0.0,0,0.0,23,901.2666667000001,0.0,0.017391304,0.0,0.0,Dec,1,1,1,2,New_Visitor,True,False
0,0.0,0,0.0,2,58.6,0.0,0.05,0.0,0.0,Jul,1,2,2,1,Returning_Visitor,False,False
0,0.0,0,0.0,6,149.5,0.0,0.066666667,0.0,0.4,May,2,2,1,13,Returning_Visitor,False,False
